epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1066.12,1.52581,2.22358,5.4475,1.07181,0,0.76346,0.20112,0.22972,0.11528,0.76011,0.19021,0.21549,0.09195,1.49168,2.25524,14.1021,1.01166,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,2161.93,1.52646,2.2063,5.36857,1.06452,0,0.76395,0.20097,0.22955,0.11532,0.7596,0.19069,0.21537,0.09208,1.49051,2.2541,14.0772,1.01065,0,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,3283.13,1.51636,2.20403,5.34867,1.06022,0,0.76395,0.20115,0.22989,0.1157,0.75973,0.19104,0.21521,0.09232,1.48922,2.25262,14.0827,1.00964,0,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,4407.69,1.51068,2.21242,5.29782,1.06544,0,0.7613,0.20362,0.23017,0.11601,0.76108,0.19104,0.21597,0.09256,1.48759,2.25081,14.1554,1.0086,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,5386.28,0.91735,1.32356,3.40367,0.64015,0,0.76102,0.20236,0.22997,0.11619,0.75833,0.19164,0.21546,0.0924,1.4866,2.24981,13.3649,1.0077,0,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,6374.4,0.90385,1.31,3.28975,0.62917,0,0.76227,0.20115,0.22978,0.11613,0.75816,0.19081,0.21515,0.09241,1.48576,2.24761,12.6616,1.0068,0,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,7334.49,0.9071,1.31146,3.23131,0.6302,0,0.76189,0.20049,0.22972,0.11623,0.75848,0.19026,0.21512,0.0924,1.48487,2.24561,12.091,1.00582,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,8283.6,0.90328,1.30446,3.15892,0.62884,0,0.76207,0.20021,0.22997,0.11629,0.75858,0.18983,0.21516,0.09241,1.48462,2.24379,11.5899,1.0052,0,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,9234.52,0.89873,1.30595,3.10635,0.63027,0,0.76189,0.19952,0.23022,0.11654,0.75871,0.18926,0.21478,0.09221,1.48408,2.24227,11.1901,1.00442,0,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
