epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,459.003,1.98972,3.02876,2.30449,1.37287,0,0.14389,0.07871,0.07413,0.03002,0.13627,0.07234,0.06511,0.02364,1.976,2.82077,8.95736,1.35435,0,0.0033321,0.0033321,0.0700111
2,912.338,1.8799,2.82426,2.08453,1.31161,0,0.71166,0.17622,0.15633,0.06868,0.70864,0.17124,0.15084,0.05717,1.70334,2.54634,13.7518,1.1584,0,0.00600555,0.00600555,0.0393512
3,1366.59,1.79852,2.7145,1.95766,1.26925,0,0.26283,0.18245,0.18654,0.08755,0.22948,0.17047,0.16792,0.06804,1.59787,2.45102,7.62366,1.10741,0,0.00801901,0.00801901,0.00803136
4,1828.46,1.73963,2.64587,1.83938,1.23985,0,0.76134,0.20054,0.21181,0.09859,0.75065,0.18863,0.18968,0.07412,1.57867,2.39332,8.01996,1.07307,0,0.00703,0.00703,0.00703
5,2277.82,1.68071,2.57051,1.72059,1.21258,0,0.29139,0.21844,0.20687,0.09818,0.26025,0.19323,0.18316,0.07399,1.56582,2.36097,7.61594,1.08917,0,0.00604,0.00604,0.00604
6,2730.54,1.6304,2.50169,1.62902,1.19109,0,0.33861,0.23727,0.22985,0.11296,0.31359,0.2213,0.20869,0.0862,1.50389,2.30697,8.3245,1.04728,0,0.00505,0.00505,0.00505
7,3200.48,1.60333,2.47562,1.61386,1.17855,0,0.39536,0.23055,0.23921,0.11767,0.25815,0.21136,0.21482,0.08943,1.48929,2.27562,10.7651,1.0366,0,0.00406,0.00406,0.00406
8,3670.65,1.56556,2.4206,1.53915,1.16062,0,0.31102,0.25716,0.25229,0.12698,0.28933,0.2317,0.22378,0.09522,1.4615,2.26167,12.136,1.02789,0,0.00307,0.00307,0.00307
9,4096.73,1.75674,2.62823,2.90573,1.24049,0,0.40325,0.18872,0.23364,0.11873,0.35877,0.17477,0.21116,0.09173,1.45926,2.26132,4.67626,1.01033,0,0.00208,0.00208,0.00208
10,4514.97,1.71088,2.573,2.62262,1.20844,0,0.37739,0.22104,0.25354,0.12304,0.37006,0.20584,0.22073,0.08994,1.46209,2.22186,4.0255,1.01637,0,0.00109,0.00109,0.00109
