epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,18755,1.36336,2.2701,1.04415,1.07179,0,0.46297,0.36261,0.35949,0.19039,0.43111,0.33022,0.3138,0.13442,1.28437,2.04415,8.99552,0.89446,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,19558.8,1.35747,2.25169,1.03172,1.06645,0,0.47342,0.36312,0.36389,0.19249,0.43348,0.33283,0.31814,0.13663,1.28769,2.03805,8.05337,0.89449,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,20363.7,1.353,2.23611,1.02092,1.06254,0,0.464,0.36362,0.36435,0.19492,0.45258,0.31665,0.31615,0.13635,1.27716,2.02286,9.54275,0.89119,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,21165.9,1.34528,2.22884,1.01756,1.06087,0,0.46031,0.37173,0.36254,0.19269,0.4265,0.33352,0.31566,0.1355,1.27724,2.03684,10.1426,0.89173,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,21970.6,1.33848,2.21542,1.00783,1.05707,0,0.4525,0.37368,0.36375,0.1947,0.41827,0.33987,0.31833,0.13789,1.27203,2.02806,7.27614,0.8894,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,22775.3,1.3318,2.20523,0.9967,1.05466,0,0.476,0.36382,0.36484,0.19527,0.44146,0.33136,0.31744,0.13766,1.26987,2.02403,7.954,0.88846,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,23534.4,1.32534,2.19502,0.98873,1.05012,0,0.46129,0.36021,0.36565,0.19678,0.44997,0.31655,0.31985,0.1386,1.26988,2.02417,8.99029,0.88743,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,24281.2,1.31222,2.18104,0.97736,1.04705,0,0.48744,0.35608,0.36425,0.19573,0.46368,0.31562,0.31943,0.13883,1.2692,2.01996,7.87397,0.88872,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,25043,1.31421,2.17025,0.97217,1.04399,0,0.45771,0.37612,0.36861,0.19724,0.43003,0.33619,0.32243,0.14053,1.26715,2.0212,7.33061,0.88625,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,25788.2,1.31017,2.16622,0.96692,1.04301,0,0.4722,0.36739,0.36855,0.1984,0.44035,0.33716,0.32105,0.13985,1.26498,2.01737,6.78344,0.88602,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
