epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,375.734,1.99854,3.08153,2.67995,1.36299,0,0.70452,0.18649,0.16486,0.07027,0.68298,0.17784,0.13751,0.05082,1.61276,2.49207,75.9495,1.10489,0,0.000555173,0.000555173,0.000555173
2,747.879,1.90403,2.82217,2.25647,1.29545,0,0.75663,0.20576,0.21219,0.10031,0.75539,0.20477,0.20841,0.08907,1.55393,2.3582,30.1389,1.06599,0,0.00100087,0.00100087,0.00100087
3,1120.6,1.882,2.77365,2.05451,1.28546,0,0.76033,0.20231,0.21489,0.10269,0.74878,0.18783,0.19347,0.07801,1.56995,2.35239,19.6638,1.04707,0,0.00133654,0.00133654,0.00133654
4,1500.76,1.84347,2.70751,1.98861,1.25972,0,0.75656,0.23543,0.24052,0.11442,0.76302,0.20854,0.21481,0.08801,1.54027,2.31164,32.3192,1.04084,0,0.0011719,0.0011719,0.0011719
5,1880.88,1.78496,2.63303,1.89726,1.2414,0,0.39338,0.25664,0.2479,0.11904,0.34104,0.2355,0.22343,0.09358,1.47886,2.22643,17.8655,1.01704,0,0.00100687,0.00100687,0.00100687
6,2259.37,1.74681,2.58582,1.81881,1.21742,0,0.793,0.23391,0.26457,0.12842,0.77633,0.21619,0.23502,0.09876,1.46255,2.19766,17.3733,1.01752,0,0.000841835,0.000841835,0.000841835
7,2632.58,1.70146,2.52431,2.02322,1.2006,0,0.49136,0.25782,0.28334,0.14347,0.50606,0.23699,0.25352,0.10627,1.40764,2.13492,27.7674,0.98772,0,0.000676802,0.000676802,0.000676802
8,3003.91,1.67867,2.49282,1.91453,1.19118,0,0.45547,0.27901,0.29515,0.15387,0.47212,0.25276,0.26445,0.11611,1.37676,2.0991,14.4913,0.97513,0,0.000511769,0.000511769,0.000511769
9,3372.67,1.63567,2.45041,1.66663,1.17017,0,0.39453,0.31768,0.30073,0.15639,0.35887,0.28398,0.27359,0.11994,1.36139,2.09123,19.0952,0.97284,0,0.000346736,0.000346736,0.000346736
10,3736.56,1.60778,2.3973,1.59245,1.15292,0,0.40294,0.32298,0.31501,0.16641,0.50523,0.25977,0.28231,0.12544,1.33461,2.0452,18.0931,0.95041,0,0.000181703,0.000181703,0.000181703
