epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,324.957,2.09004,3.18436,9.13502,1.39141,0,0.70306,0.1801,0.1574,0.06917,0.71069,0.17851,0.16027,0.06342,1.7107,2.60587,572.689,1.15167,0,0.000555036,0.000555036,0.000555036
2,616.299,1.99354,2.92926,6.11863,1.31811,0,0.71994,0.18292,0.17033,0.07332,0.72035,0.17696,0.16442,0.06332,1.77646,2.56484,154.317,1.16245,0,0.00100074,0.00100074,0.00100074
3,910.067,1.95021,2.85769,5.703,1.29087,0,0.74428,0.19981,0.19532,0.08642,0.74303,0.18826,0.18359,0.07124,1.70666,2.55579,195.268,1.14174,0,0.00133643,0.00133643,0.00133643
4,1204.8,1.89961,2.79312,5.43263,1.26757,0,0.46177,0.19614,0.20118,0.09571,0.53042,0.18627,0.19308,0.07981,1.61451,2.44923,91.6302,1.08799,0,0.0011719,0.0011719,0.0011719
5,1504.55,1.86446,2.75645,5.22128,1.24672,0,0.77291,0.2215,0.23606,0.11073,0.76946,0.20608,0.2157,0.08757,1.58405,2.40936,122.333,1.07156,0,0.00100687,0.00100687,0.00100687
6,1799.33,1.81117,2.68688,5.02447,1.22252,0,0.36542,0.22839,0.24215,0.11442,0.41288,0.21722,0.22442,0.09088,1.57086,2.36911,171.752,1.05364,0,0.000841835,0.000841835,0.000841835
7,2097.99,1.78891,2.65379,4.85512,1.21502,0,0.57068,0.22722,0.24905,0.11911,0.5589,0.21785,0.23011,0.0941,1.5558,2.35349,90.5205,1.05183,0,0.000676802,0.000676802,0.000676802
8,2397.01,1.76019,2.62333,4.72507,1.19991,0,0.54158,0.22829,0.25063,0.12238,0.55695,0.21967,0.23796,0.10014,1.5336,2.33753,113.064,1.03982,0,0.000511769,0.000511769,0.000511769
9,2718.89,1.73249,2.58894,4.68724,1.18561,0,0.59649,0.23579,0.261,0.12835,0.61156,0.22317,0.24321,0.10362,1.50718,2.30143,131.259,1.03147,0,0.000346736,0.000346736,0.000346736
10,3024.56,1.71655,2.56121,4.82785,1.17775,0,0.5668,0.24211,0.26646,0.13342,0.54483,0.22983,0.24814,0.10695,1.48707,2.27509,126.237,1.01785,0,0.000181703,0.000181703,0.000181703
