epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,455.618,2.00626,3.15167,2.78064,1.37477,0,0.69628,0.16151,0.14538,0.06425,0.69693,0.15535,0.13975,0.05417,1.72587,2.53554,18.2992,1.13464,0,0.000555516,0.000555516,0.000555516
2,896.242,1.9582,2.92542,2.30196,1.33737,0,0.70341,0.17014,0.15964,0.07229,0.70112,0.1614,0.15002,0.05904,1.66838,2.45809,13.2585,1.10603,0,0.00100118,0.00100118,0.00100118
3,1333.16,1.91122,2.85618,2.17523,1.30673,0,0.72476,0.18415,0.17972,0.07988,0.71909,0.17404,0.16667,0.06369,1.65678,2.42262,13.8577,1.11451,0,0.00133681,0.00133681,0.00133681
4,1769.8,1.8607,2.80212,2.07216,1.28389,0,0.7532,0.20168,0.21228,0.09896,0.74771,0.18947,0.19753,0.07991,1.57942,2.36932,17.0508,1.06517,0,0.0011719,0.0011719,0.0011719
5,2204.85,1.82296,2.75212,1.97939,1.26451,0,0.74678,0.20919,0.21185,0.10446,0.74605,0.19478,0.1989,0.08342,1.5457,2.31616,18.8658,1.03367,0,0.00100687,0.00100687,0.00100687
6,2645.45,1.79345,2.7051,1.9273,1.24508,0,0.56862,0.19684,0.2161,0.10622,0.55828,0.18697,0.20348,0.0858,1.53763,2.29464,7.16861,1.03658,0,0.000841835,0.000841835,0.000841835
7,3094.38,1.76331,2.67087,1.87529,1.23334,0,0.76695,0.21604,0.23435,0.11527,0.76253,0.20574,0.21959,0.09346,1.50685,2.25873,13.4705,1.02168,0,0.000676802,0.000676802,0.000676802
8,3542.62,1.74457,2.62711,1.81507,1.22354,0,0.768,0.2246,0.24352,0.11923,0.76058,0.21129,0.22431,0.09478,1.5024,2.25905,12.2036,1.01178,0,0.000511769,0.000511769,0.000511769
9,3957.12,1.59162,2.34012,2.17506,1.10239,0,0.76854,0.20613,0.23152,0.11308,0.76014,0.19626,0.21292,0.08896,1.49598,2.25249,5.97604,1.00413,0,0.000346736,0.000346736,0.000346736
10,4371.42,1.57163,2.29967,2.06359,1.0932,0,0.76201,0.21402,0.2349,0.11796,0.76077,0.20219,0.22117,0.09533,1.48636,2.23347,6.39153,0.99986,0,0.000181703,0.000181703,0.000181703
