epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,369.768,2.01268,3.10948,10.63,1.37315,0,0.72188,0.16911,0.16465,0.07541,0.70909,0.15781,0.14587,0.05734,1.65814,2.56907,72.7063,1.15998,0,0.000555173,0.000555173,0.000555173
2,734.715,1.93781,2.88367,8.67646,1.32249,0,0.7377,0.2073,0.20253,0.08583,0.72877,0.20125,0.18513,0.0663,1.60045,2.37844,107.802,1.07083,0,0.00100087,0.00100087,0.00100087
3,1101.1,1.92446,2.85053,8.22888,1.31419,0,0.74949,0.2013,0.20591,0.09544,0.74245,0.19223,0.19087,0.07789,1.60494,2.3842,90.1714,1.09572,0,0.00133654,0.00133654,0.00133654
4,1467.13,1.87363,2.77198,7.92722,1.27709,0,0.77286,0.22222,0.23401,0.11153,0.75934,0.20727,0.21202,0.08416,1.54731,2.35193,108.204,1.0551,0,0.0011719,0.0011719,0.0011719
5,1833.46,1.81802,2.70181,7.82454,1.25802,0,0.35197,0.21473,0.21287,0.10042,0.30296,0.20017,0.19511,0.0795,1.58682,2.35732,41.0869,1.08022,0,0.00100687,0.00100687,0.00100687
6,2199.42,1.78591,2.64727,7.30754,1.2418,0,0.77621,0.23733,0.2556,0.12261,0.76635,0.21891,0.2296,0.09563,1.48766,2.25173,93.6421,1.02628,0,0.000841835,0.000841835,0.000841835
7,2566.11,1.73602,2.59389,7.68547,1.2123,0,0.32763,0.28023,0.27382,0.14021,0.39039,0.24302,0.24889,0.10556,1.43813,2.19186,69.4485,0.99922,0,0.000676802,0.000676802,0.000676802
8,2931.79,1.71283,2.54767,7.51286,1.19926,0,0.36574,0.29011,0.27955,0.14057,0.35646,0.2639,0.25036,0.1072,1.40746,2.15812,21.7913,0.99076,0,0.000511769,0.000511769,0.000511769
9,3298,1.67926,2.52609,6.60158,1.18503,0,0.36604,0.31237,0.29047,0.14622,0.37305,0.28692,0.26367,0.1137,1.39511,2.1483,38.5334,0.98602,0,0.000346736,0.000346736,0.000346736
10,3662.9,1.65192,2.4777,6.36681,1.16869,0,0.39286,0.32108,0.30918,0.16091,0.3661,0.28585,0.27736,0.12174,1.37088,2.10284,52.1691,0.96765,0,0.000181703,0.000181703,0.000181703
