epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,244.05,1.81248,2.7718,6.56815,1.24274,0,0.18232,0.16201,0.12515,0.05215,0.17957,0.15723,0.12019,0.04331,1.88909,2.8263,346.142,1.24883,0,0.00332863,0.00332863,0.0700423
2,498.894,1.7304,2.58348,5.7846,1.20386,0,0.20891,0.16725,0.14307,0.06185,0.20488,0.16282,0.13854,0.05303,1.82124,2.79547,150.342,1.20769,0,0.00600243,0.00600243,0.0393828
3,753.489,1.66114,2.50613,5.51057,1.17715,0,0.28475,0.19858,0.1856,0.08515,0.26853,0.18986,0.17504,0.07048,1.63187,2.47532,71.7622,1.11674,0,0.00801623,0.00801623,0.00806324
4,1008.71,1.62152,2.43573,5.28292,1.15305,0,0.34084,0.22976,0.22902,0.107,0.32943,0.21878,0.21626,0.0877,1.56406,2.39168,71.1876,1.08356,0,0.00703,0.00703,0.00703
5,1272.89,1.56669,2.37395,5.04438,1.13346,0,0.33883,0.23264,0.22831,0.10601,0.32647,0.2172,0.20426,0.08023,1.53218,2.34354,69.1149,1.05858,0,0.00604,0.00604,0.00604
